108,Bajaj Platina 100,72 km/l,"Rs. 67,808"
109,Bajaj Platina 110,70 km/l,"Rs. 70,400"
110,Bajaj CT 110X,70 km/l,"Rs. 69,216"
111,Hero HF Deluxe,70 km/l,"Rs. 59,998"
112,TVS Radeon,69.3 km/l,"Rs. 62,405"
113,TVS Raider,67 km/l,"Rs. 95,219"
114,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
115,Honda Shine 100,65 km/l,"Rs. 64,900"
116,Honda SP 125,65 km/l,"Rs. 86,017"
117,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
118,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
119,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
120,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
121,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
122,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
123,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
124,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
125,TVS iQube,145 km (Range),Rs. 1.17 lakhs
126,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
127,Hero Glamour,60 km/l,"Rs. 83,106"
128,Honda Unicorn,60 km/l,"Rs.1,09,679"
129,Hero Passion Plus,70 km/l,"Rs. 80,538"
130,Honda Livo,60 - 74 km/l,"Rs. 73,150"
131,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
132,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
133,TVS Sport,73 km/l,"Rs. 59,431"
134,Bajaj Platina 100,72 km/l,"Rs. 67,808"
135,Bajaj Platina 110,70 km/l,"Rs. 70,400"
136,Bajaj CT 110X,70 km/l,"Rs. 69,216"
137,Hero HF Deluxe,70 km/l,"Rs. 59,998"
138,TVS Radeon,69.3 km/l,"Rs. 62,405"
139,TVS Raider,67 km/l,"Rs. 95,219"
140,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
141,Honda Shine 100,65 km/l,"Rs. 64,900"
142,Honda SP 125,65 km/l,"Rs. 86,017"
143,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
144,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
145,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
146,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
147,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
148,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
149,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
150,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
151,TVS iQube,145 km (Range),Rs. 1.17 lakhs
152,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
153,Hero Glamour,60 km/l,"Rs. 83,106"
154,Honda Unicorn,60 km/l,"Rs.1,09,679"
155,Hero Passion Plus,70 km/l,"Rs. 80,538"
156,Honda Livo,60 - 74 km/l,"Rs. 73,150"
157,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
158,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
159,TVS Sport,73 km/l,"Rs. 59,431"
160,Bajaj Platina 100,72 km/l,"Rs. 67,808"
161,Bajaj Platina 110,70 km/l,"Rs. 70,400"
162,Bajaj CT 110X,70 km/l,"Rs. 69,216"
163,Hero HF Deluxe,70 km/l,"Rs. 59,998"
164,TVS Radeon,69.3 km/l,"Rs. 62,405"
165,TVS Raider,67 km/l,"Rs. 95,219"
166,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
167,Honda Shine 100,65 km/l,"Rs. 64,900"
168,Honda SP 125,65 km/l,"Rs. 86,017"
169,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
170,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
171,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
172,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
173,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
174,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
175,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
176,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
177,TVS iQube,145 km (Range),Rs. 1.17 lakhs
178,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
179,Hero Glamour,60 km/l,"Rs. 83,106"
180,Honda Unicorn,60 km/l,"Rs.1,09,679"
181,Hero Passion Plus,70 km/l,"Rs. 80,538"
182,Honda Livo,60 - 74 km/l,"Rs. 73,150"
183,we,qwe,qwe
184,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
185,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
186,TVS Sport,73 km/l,"Rs. 59,431"
187,Bajaj Platina 100,72 km/l,"Rs. 67,808"
188,Bajaj Platina 110,70 km/l,"Rs. 70,400"
189,Bajaj CT 110X,70 km/l,"Rs. 69,216"
190,Hero HF Deluxe,70 km/l,"Rs. 59,998"
191,TVS Radeon,69.3 km/l,"Rs. 62,405"
192,TVS Raider,67 km/l,"Rs. 95,219"
193,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
194,Honda Shine 100,65 km/l,"Rs. 64,900"
195,Honda SP 125,65 km/l,"Rs. 86,017"
196,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
197,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
198,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
199,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
200,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
201,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
202,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
203,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
204,TVS iQube,145 km (Range),Rs. 1.17 lakhs
205,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
206,Hero Glamour,60 km/l,"Rs. 83,106"
207,Honda Unicorn,60 km/l,"Rs.1,09,679"
208,Hero Passion Plus,70 km/l,"Rs. 80,538"
209,Honda Livo,60 - 74 km/l,"Rs. 73,150"
210,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
211,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
212,TVS Sport,73 km/l,"Rs. 59,431"
213,Bajaj Platina 100,72 km/l,"Rs. 67,808"
214,Bajaj Platina 110,70 km/l,"Rs. 70,400"
106,asd,asd,asd
107,asd,asd,asd
215,Bajaj CT 110X,70 km/l,"Rs. 69,216"
216,Hero HF Deluxe,70 km/l,"Rs. 59,998"
217,TVS Radeon,69.3 km/l,"Rs. 62,405"
218,TVS Raider,67 km/l,"Rs. 95,219"
219,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
220,Honda Shine 100,65 km/l,"Rs. 64,900"
221,Honda SP 125,65 km/l,"Rs. 86,017"
222,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
223,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
224,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
225,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
226,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
227,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
228,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
229,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
230,TVS iQube,145 km (Range),Rs. 1.17 lakhs
231,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
232,Hero Glamour,60 km/l,"Rs. 83,106"
233,Honda Unicorn,60 km/l,"Rs.1,09,679"
234,Hero Passion Plus,70 km/l,"Rs. 80,538"
235,Honda Livo,60 - 74 km/l,"Rs. 73,150"
105,asd,asd,asd
236,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
237,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
238,TVS Sport,73 km/l,"Rs. 59,431"
239,Bajaj Platina 100,72 km/l,"Rs. 67,808"
240,Bajaj Platina 110,70 km/l,"Rs. 70,400"
241,Bajaj CT 110X,70 km/l,"Rs. 69,216"
242,Hero HF Deluxe,70 km/l,"Rs. 59,998"
243,TVS Radeon,69.3 km/l,"Rs. 62,405"
244,TVS Raider,67 km/l,"Rs. 95,219"
245,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
246,Honda Shine 100,65 km/l,"Rs. 64,900"
247,Honda SP 125,65 km/l,"Rs. 86,017"
248,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
249,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
250,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
251,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
252,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
253,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
254,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
255,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
256,TVS iQube,145 km (Range),Rs. 1.17 lakhs
257,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
258,Hero Glamour,60 km/l,"Rs. 83,106"
259,Honda Unicorn,60 km/l,"Rs.1,09,679"
260,Hero Passion Plus,70 km/l,"Rs. 80,538"
261,Honda Livo,60 - 74 km/l,"Rs. 73,150"
262,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
263,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
264,TVS Sport,73 km/l,"Rs. 59,431"
265,Bajaj Platina 100,72 km/l,"Rs. 67,808"
266,Bajaj Platina 110,70 km/l,"Rs. 70,400"
267,Bajaj CT 110X,70 km/l,"Rs. 69,216"
268,Hero HF Deluxe,70 km/l,"Rs. 59,998"
269,TVS Radeon,69.3 km/l,"Rs. 62,405"
270,TVS Raider,67 km/l,"Rs. 95,219"
271,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
272,Honda Shine 100,65 km/l,"Rs. 64,900"
273,Honda SP 125,65 km/l,"Rs. 86,017"
274,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
275,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
276,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
277,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
278,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
279,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
280,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
281,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
282,TVS iQube,145 km (Range),Rs. 1.17 lakhs
283,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
284,Hero Glamour,60 km/l,"Rs. 83,106"
285,Honda Unicorn,60 km/l,"Rs.1,09,679"
286,Hero Passion Plus,70 km/l,"Rs. 80,538"
287,Honda Livo,60 - 74 km/l,"Rs. 73,150"
288,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
289,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
290,TVS Sport,73 km/l,"Rs. 59,431"
291,Bajaj Platina 100,72 km/l,"Rs. 67,808"
292,Bajaj Platina 110,70 km/l,"Rs. 70,400"
293,Bajaj CT 110X,70 km/l,"Rs. 69,216"
294,Hero HF Deluxe,70 km/l,"Rs. 59,998"
295,TVS Radeon,69.3 km/l,"Rs. 62,405"
296,TVS Raider,67 km/l,"Rs. 95,219"
297,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
298,Honda Shine 100,65 km/l,"Rs. 64,900"
299,Honda SP 125,65 km/l,"Rs. 86,017"
300,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
301,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
302,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
303,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
304,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
305,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
306,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
307,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
308,TVS iQube,145 km (Range),Rs. 1.17 lakhs
309,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
310,Hero Glamour,60 km/l,"Rs. 83,106"
311,Honda Unicorn,60 km/l,"Rs.1,09,679"
312,Hero Passion Plus,70 km/l,"Rs. 80,538"
313,Honda Livo,60 - 74 km/l,"Rs. 73,150"
314,ad,ad,ad
315,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
316,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
317,TVS Sport,73 km/l,"Rs. 59,431"
318,Bajaj Platina 100,72 km/l,"Rs. 67,808"
319,Bajaj Platina 110,70 km/l,"Rs. 70,400"
320,Bajaj CT 110X,70 km/l,"Rs. 69,216"
321,Hero HF Deluxe,70 km/l,"Rs. 59,998"
322,TVS Radeon,69.3 km/l,"Rs. 62,405"
323,TVS Raider,67 km/l,"Rs. 95,219"
324,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
325,Honda Shine 100,65 km/l,"Rs. 64,900"
326,Honda SP 125,65 km/l,"Rs. 86,017"
327,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
328,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
329,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
330,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
331,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
332,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
333,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
334,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
335,TVS iQube,145 km (Range),Rs. 1.17 lakhs
336,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
337,Hero Glamour,60 km/l,"Rs. 83,106"
338,Honda Unicorn,60 km/l,"Rs.1,09,679"
339,Hero Passion Plus,70 km/l,"Rs. 80,538"
341,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
342,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
343,TVS Sport,73 km/l,"Rs. 59,431"
344,Bajaj Platina 100,72 km/l,"Rs. 67,808"
345,Bajaj Platina 110,70 km/l,"Rs. 70,400"
346,Bajaj CT 110X,70 km/l,"Rs. 69,216"
347,Hero HF Deluxe,70 km/l,"Rs. 59,998"
348,TVS Radeon,69.3 km/l,"Rs. 62,405"
349,TVS Raider,67 km/l,"Rs. 95,219"
350,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
351,Honda Shine 100,65 km/l,"Rs. 64,900"
352,Honda SP 125,65 km/l,"Rs. 86,017"
353,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
354,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
355,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
356,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
357,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
358,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
359,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
360,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
361,TVS iQube,145 km (Range),Rs. 1.17 lakhs
362,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
363,Hero Glamour,60 km/l,"Rs. 83,106"
364,Honda Unicorn,60 km/l,"Rs.1,09,679"
365,Hero Passion Plus,70 km/l,"Rs. 80,538"
367,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
368,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
369,TVS Sport,73 km/l,"Rs. 59,431"
370,Bajaj Platina 100,72 km/l,"Rs. 67,808"
371,Bajaj Platina 110,70 km/l,"Rs. 70,400"
372,Bajaj CT 110X,70 km/l,"Rs. 69,216"
373,Hero HF Deluxe,70 km/l,"Rs. 59,998"
374,TVS Radeon,69.3 km/l,"Rs. 62,405"
375,TVS Raider,67 km/l,"Rs. 95,219"
376,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
377,Honda Shine 100,65 km/l,"Rs. 64,900"
378,Honda SP 125,65 km/l,"Rs. 86,017"
379,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
380,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
381,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
382,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
383,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
384,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
385,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
386,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
387,TVS iQube,145 km (Range),Rs. 1.17 lakhs
388,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
389,Hero Glamour,60 km/l,"Rs. 83,106"
390,Honda Unicorn,60 km/l,"Rs.1,09,679"
391,yjjj,hyjyjh,vhjjh
393,hjhj,hjhj,hjhj
394,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
395,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
396,TVS Sport,73 km/l,"Rs. 59,431"
397,Bajaj Platina 100,72 km/l,"Rs. 67,808"
398,Bajaj Platina 110,70 km/l,"Rs. 70,400"
399,Bajaj CT 110X,70 km/l,"Rs. 69,216"
400,Hero HF Deluxe,70 km/l,"Rs. 59,998"
401,TVS Radeon,69.3 km/l,"Rs. 62,405"
402,TVS Raider,67 km/l,"Rs. 95,219"
403,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
404,Honda Shine 100,65 km/l,"Rs. 64,900"
405,Honda SP 125,65 km/l,"Rs. 86,017"
406,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
407,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
408,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
409,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
410,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
411,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
412,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
413,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
414,TVS iQube,145 km (Range),Rs. 1.17 lakhs
415,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
416,Hero Glamour,60 km/l,"Rs. 83,106"
417,Honda Unicorn,60 km/l,"Rs.1,09,679"
418,Hero Passion Plus,70 km/l,"Rs. 80,538"
419,Honda Livo,60 - 74 km/l,"Rs. 73,150"
420,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
421,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
422,TVS Sport,73 km/l,"Rs. 59,431"
423,Bajaj Platina 100,72 km/l,"Rs. 67,808"
424,Bajaj Platina 110,70 km/l,"Rs. 70,400"
425,Bajaj CT 110X,70 km/l,"Rs. 69,216"
426,Hero HF Deluxe,70 km/l,"Rs. 59,998"
427,TVS Radeon,69.3 km/l,"Rs. 62,405"
428,TVS Raider,67 km/l,"Rs. 95,219"
429,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
430,Honda Shine 100,65 km/l,"Rs. 64,900"
431,Honda SP 125,65 km/l,"Rs. 86,017"
432,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
433,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
434,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
435,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
436,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
437,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
438,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
439,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
440,TVS iQube,145 km (Range),Rs. 1.17 lakhs
441,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
442,Hero Glamour,60 km/l,"Rs. 83,106"
443,Honda Unicorn,60 km/l,"Rs.1,09,679"
444,Hero Passion Plus,70 km/l,"Rs. 80,538"
445,Honda Livo,60 - 74 km/l,"Rs. 73,150"
446,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
447,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
